Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
01/01/2009,CoffsHarbour,16.1,31.4,0,7.4,11.4,NNE,54,N,NNE,7,37,51,58,1005.9,1002.3,1,5,26.5,28.4,No,0,No
01/02/2009,CoffsHarbour,22.8,24.7,0,8,0.2,SSW,56,SSW,S,35,15,68,67,1010.9,1011.4,7,7,23.4,24.4,No,4.6,Yes
01/03/2009,CoffsHarbour,20,24.1,4.6,3.4,0.2,SE,35,SE,E,20,19,70,59,1019.3,1018.8,8,7,21.7,23.7,Yes,0.8,No
01/04/2009,CoffsHarbour,14.8,25,0.8,3,12.6,E,24,SSE,ESE,7,17,62,45,1019.5,1017,5,2,22.5,24.8,No,0,No
01/05/2009,CoffsHarbour,15.5,27.3,0,6.6,13.1,NE,41,NW,NE,7,30,54,62,1015.7,1012.7,1,6,24.6,26.1,No,0,No
01/06/2009,CoffsHarbour,19.8,30.2,0,5.4,13.4,NNE,54,NW,NE,24,39,55,58,1012.9,1011,0,1,27.1,27.3,No,0,No
01/07/2009,CoffsHarbour,22.7,29.6,0,8,9.8,NNE,56,NNW,NNE,20,37,60,66,1012.3,1009.7,5,5,26.7,27.1,No,0,No
01/08/2009,CoffsHarbour,22.7,29.2,0,6.4,1.9,SSW,44,NW,NNE,9,20,70,71,1009.4,1008.8,7,8,25.8,26.4,No,7.8,Yes
01/09/2009,CoffsHarbour,19.5,21.4,7.8,4.2,0.2,S,56,SSW,SSE,26,28,85,73,1015.7,1015.9,8,8,20,21.1,Yes,3.2,Yes
01/10/2009,CoffsHarbour,16.9,24.2,3.2,2.6,12,SW,30,SW,SE,20,15,59,47,1015.5,1013.5,2,2,21.2,23.3,Yes,0,No
01/11/2009,CoffsHarbour,13.7,25.5,0,6.2,12.2,E,26,SW,ESE,13,15,55,63,1013.7,1012,2,2,23.2,24.5,No,0,No
01/12/2009,CoffsHarbour,17.5,27.4,0,5.6,12,E,31,E,E,11,19,67,63,1014.5,1014.3,5,3,24.8,26,No,0,No
01/13/2009,CoffsHarbour,17.7,27,0,5.6,10.8,E,28,SSW,E,15,20,64,62,1019.1,1017.2,3,1,24.2,26.1,No,0,No
01/14/2009,CoffsHarbour,16.9,27.4,0,6.6,13.2,N,43,NNW,NNE,13,30,58,49,1017.8,1015.9,3,1,24.9,26.1,No,0,No
01/15/2009,CoffsHarbour,19.1,32.2,0,7.6,13.2,NNE,61,NNW,NNE,31,46,50,57,1013.9,1010.4,0,1,25.1,27.6,No,0,No
01/16/2009,CoffsHarbour,21,27.5,0,7.8,10.8,SSW,39,SSE,E,6,15,68,74,1011,1008.8,3,5,26.3,26.5,No,6.4,Yes
